Timestamp,User Count,Type,Name,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%,Total Request Count,Total Failure Count,Total Median Response Time,Total Average Response Time,Total Min Response Time,Total Max Response Time,Total Average Content Size
1777032124,0,,Aggregated,0.000000,0.000000,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,0,0,0.0,0,0,0
1777032125,10,,Aggregated,0.000000,0.000000,930,950,950,980,980,980,980,980,980,980,980,5,0,930,923.9929417992244,868.5438329994213,981.0655839974061,0.0
1777032126,20,,Aggregated,0.000000,0.000000,280,440,490,510,950,1000,1000,1000,1000,1000,1000,63,0,280,434.35287042770403,244.06591700972058,1047.2513749991776,0.0
1777032127,30,,Aggregated,0.000000,0.000000,390,420,440,440,510,950,1000,1000,1000,1000,1000,136,0,390,398.05408335290423,244.06591700972058,1047.2513749991776,0.0
1777032128,40,,Aggregated,6.500000,0.000000,390,440,500,510,520,530,1000,1000,1000,1000,1000,214,0,390,419.64183354676294,244.06591700972058,1047.2513749991776,0.0
1777032129,50,,Aggregated,26.000000,0.000000,440,510,520,520,630,630,980,1000,1000,1000,1000,292,0,440,457.9871857808129,244.06591700972058,1047.2513749991776,0.0
1777032130,60,,Aggregated,37.750000,0.000000,510,520,630,640,650,820,930,1000,1000,1000,1000,368,0,510,506.05247780699955,244.06591700972058,1047.2513749991776,0.0
1777032131,70,,Aggregated,45.800000,0.000000,510,630,650,770,900,980,1000,1100,1100,1100,1100,432,0,510,566.425811250021,244.06591700972058,1096.0781250032596,0.0
1777032132,80,,Aggregated,51.166667,0.000000,630,750,840,870,950,1000,1000,1100,1100,1100,1100,516,0,630,618.7188943699449,244.06591700972058,1096.0781250032596,0.0
1777032133,90,,Aggregated,52.571429,0.000000,640,840,910,970,1000,1000,1000,1100,1100,1100,1100,595,0,640,672.8191212114356,244.06591700972058,1096.0781250032596,0.0
1777032134,100,,Aggregated,56.250000,0.000000,690,910,1000,1000,1100,1100,1100,1100,1100,1100,1100,673,0,690,725.1248386518405,244.06591700972058,1148.6849999928381,0.0
1777032135,100,,Aggregated,58.777778,0.000000,820,1000,1000,1100,1100,1300,1300,1300,1300,1300,1300,754,0,820,780.0580170659046,244.06591700972058,1271.004249996622,0.0
1777032136,100,,Aggregated,60.900000,0.000000,870,1000,1100,1100,1300,1300,1300,1300,1300,1300,1300,833,0,870,824.7574921375943,244.06591700972058,1274.2245419940446,0.0
1777032137,100,,Aggregated,68.800000,0.000000,920,1100,1100,1200,1300,1300,1300,1300,1300,1300,1300,911,0,920,864.5864409446093,244.06591700972058,1304.4166670006234,0.0
1777032138,100,,Aggregated,75.500000,0.000000,1000,1100,1200,1300,1300,1300,1300,1300,1300,1300,1300,992,0,1000,896.8783180821887,244.06591700972058,1304.4166670006234,0.0
1777032139,100,,Aggregated,76.700000,0.000000,1000,1200,1200,1300,1300,1300,1300,1300,1300,1300,1300,1074,0,1000,922.2826799352326,244.06591700972058,1304.4166670006234,0.0
1777032140,100,,Aggregated,77.400000,0.000000,1000,1200,1200,1300,1300,1300,1300,1300,1300,1300,1300,1155,0,1000,943.560326694714,244.06591700972058,1304.4166670006234,0.0
1777032141,100,,Aggregated,77.600000,0.000000,1100,1200,1200,1300,1300,1300,1300,1300,1300,1300,1300,1234,0,1100,964.3534550594967,244.06591700972058,1337.9572499979986,0.0
1777032142,100,,Aggregated,78.000000,0.000000,1100,1200,1200,1300,1300,1300,1300,1300,1300,1300,1300,1314,0,1100,981.0830162331945,244.06591700972058,1337.9572499979986,0.0
1777032143,100,,Aggregated,79.900000,0.000000,1200,1200,1300,1300,1300,1300,1300,1300,1300,1300,1300,1395,0,1200,996.756158600975,244.06591700972058,1337.9572499979986,0.0
1777032144,100,,Aggregated,79.700000,0.000000,1200,1200,1300,1300,1300,1300,1300,1300,1300,1300,1300,1471,0,1200,1010.01786120352,244.06591700972058,1337.9572499979986,0.0
