Timestamp,User Count,Type,Name,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%,Total Request Count,Total Failure Count,Total Median Response Time,Total Average Response Time,Total Min Response Time,Total Max Response Time,Total Average Content Size
1776941310,0,,Aggregated,0.000000,0.000000,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,0,0,0.0,0,0,0
1776941311,10,,Aggregated,0.000000,0.000000,220,450,480,480,510,770,770,770,770,770,770,20,0,210,314.508145900254,186.456667004677,770.5567500015604,234.75
1776941312,20,,Aggregated,0.000000,0.000000,200,220,250,450,610,610,1600,1600,1600,1600,1600,78,0,200,306.1437115898932,180.57170800602762,1614.207291000639,238.67948717948718
1776941313,30,,Aggregated,0.000000,0.000000,200,220,240,250,480,610,660,1600,1600,1600,1600,168,0,200,269.3391168453932,180.57170800602762,1614.207291000639,240.57738095238096
1776941314,40,,Aggregated,13.500000,0.000000,220,240,320,350,450,600,660,1600,3900,3900,3900,274,0,220,293.06761768615627,180.57170800602762,3903.845500004536,241.8832116788321
1776941315,50,,Aggregated,31.333333,0.000000,230,330,350,350,400,600,660,1600,3900,3900,3900,391,0,230,304.24745639392665,180.57170800602762,3903.845500004536,241.03324808184144
1776941316,60,,Aggregated,48.000000,0.000000,260,350,370,380,490,600,740,1600,3900,3900,3900,500,0,250,332.27540348008915,180.57170800602762,3903.845500004536,240.866
1776941317,70,,Aggregated,59.600000,0.000000,330,350,380,410,600,700,1600,1600,5600,5600,5600,600,0,330,375.0439050634789,180.57170800602762,5611.173125005735,240.745
1776941318,80,,Aggregated,69.166667,0.000000,340,360,420,500,710,1000,1600,2100,5600,5600,5600,685,0,340,418.6042068746127,178.11600000277394,5611.173125005735,240.4014598540146
1776941319,90,,Aggregated,73.571429,0.000000,350,380,490,590,930,1100,1900,2800,5800,5800,5800,813,0,350,472.64506360898275,178.11600000277394,5825.875500006077,240.27183271832718
1776941320,100,,Aggregated,76.375000,0.000000,360,480,570,610,920,1100,2100,2900,5800,5800,5800,979,0,360,504.71168713904655,178.11600000277394,5825.875500006077,240.34014300306436
1776941321,100,,Aggregated,77.555556,0.000000,350,450,570,610,920,1000,2100,3000,5800,5800,5800,1044,0,350,501.7018190911129,178.11600000277394,5833.717582994723,240.132183908046
1776941322,100,,Aggregated,86.100000,0.000000,360,500,590,690,1000,1800,1900,2900,5800,5800,5800,1197,0,360,562.2968386266524,178.11600000277394,5833.717582994723,239.62238930659984
1776941323,100,,Aggregated,99.500000,0.000000,370,550,620,700,950,1800,1800,2800,5800,5800,5800,1369,0,370,564.2942659482356,178.11600000277394,5833.717582994723,239.4945215485756
1776941324,100,,Aggregated,103.800000,0.000000,390,550,610,690,940,1800,1800,2700,5800,8100,8100,1546,0,390,567.68658305377,178.11600000277394,8103.775832998508,239.40426908150064
1776941325,100,,Aggregated,112.800000,0.000000,420,560,650,750,930,1800,1800,2800,8100,12000,12000,1683,0,420,585.6331897065791,178.11600000277394,12340.642082999693,239.4058229352347
1776941326,100,,Aggregated,120.100000,0.000000,460,560,670,810,930,1800,1800,2700,8100,12000,12000,1833,0,460,591.350763199785,178.11600000277394,12340.642082999693,239.56519367157665
1776941327,100,,Aggregated,124.900000,0.000000,480,570,700,850,930,1600,1800,2100,8000,12000,12000,2018,0,480,595.4517361408857,176.91770900273696,12340.642082999693,239.3577799801784
1776941328,100,,Aggregated,127.600000,0.000000,500,570,740,860,940,1200,1800,2100,8100,16000,16000,2173,0,500,606.1619777553157,176.91770900273696,16480.653583996173,239.38610216290843
1776941329,100,,Aggregated,135.700000,0.000000,500,610,820,870,940,1200,1800,2100,8100,16000,16000,2299,0,500,610.399985155862,176.91770900273696,16480.653583996173,239.32666376685515
1776941330,100,,Aggregated,141.000000,0.000000,510,610,740,850,940,1100,1800,2100,8100,16000,16000,2423,0,510,605.2592052531419,176.91770900273696,16480.653583996173,239.21873710276517
1776941331,100,,Aggregated,148.000000,0.000000,520,630,820,880,950,1400,1800,2100,8100,16000,16000,2551,0,520,620.4362933976493,176.91770900273696,16480.653583996173,239.19717757742063
1776941332,100,,Aggregated,148.800000,0.000000,520,630,840,880,990,1400,1800,2100,8100,16000,16000,2658,0,520,627.3601092307827,176.91770900273696,16480.653583996173,239.17795334838223
1776941333,100,,Aggregated,148.700000,0.000000,520,650,830,880,980,1400,1800,1900,8100,16000,16000,2814,0,520,629.61440117818,176.91770900273696,16480.653583996173,239.13326226012794
1776941334,100,,Aggregated,149.100000,0.000000,520,660,840,880,980,1400,1800,2100,8100,16000,16000,2963,0,520,636.3147807102342,176.91770900273696,16480.653583996173,239.09146135673305
1776941335,100,,Aggregated,146.900000,0.000000,520,670,840,880,980,1400,1800,2100,8000,16000,16000,3149,0,520,636.2276049934854,176.91770900273696,16480.653583996173,239.17021276595744
1776941336,100,,Aggregated,143.800000,0.000000,520,680,840,870,960,1400,1800,2100,8100,17000,17000,3302,0,520,638.5043329286743,176.91770900273696,16661.9481250018,239.09812235009085
1776941337,100,,Aggregated,145.100000,0.000000,520,690,840,860,950,1400,1800,2100,8100,17000,17000,3481,0,520,638.3711000659213,176.91770900273696,16661.9481250018,239.0925021545533
1776941338,100,,Aggregated,147.300000,0.000000,520,700,840,880,940,1300,1800,1900,8100,17000,17000,3632,0,520,637.2538252003003,176.91770900273696,16661.9481250018,239.11398678414096
1776941339,100,,Aggregated,144.600000,0.000000,520,700,840,870,940,1200,1800,1900,8100,17000,17000,3792,0,520,635.4502072878303,173.74462499719812,16661.9481250018,239.06935654008439
1776941340,100,,Aggregated,147.200000,0.000000,530,710,840,870,950,1200,1800,1900,8100,17000,17000,3934,0,530,635.7639292797334,173.74462499719812,16661.9481250018,239.16776817488562
1776941341,100,,Aggregated,147.400000,0.000000,530,710,840,870,940,1200,1800,1900,8000,17000,17000,4098,0,530,636.6344044134835,173.74462499719812,16661.9481250018,239.18789653489506
1776941342,100,,Aggregated,144.900000,0.000000,530,710,850,870,950,1200,1800,1800,8000,17000,17000,4260,0,530,637.1576127355546,173.74462499719812,16661.9481250018,239.30140845070423
1776941343,100,,Aggregated,149.400000,0.000000,540,770,850,880,960,1400,1800,1800,8000,17000,17000,4396,0,540,644.673193386592,173.74462499719812,16661.9481250018,239.23566878980893
1776941344,100,,Aggregated,154.200000,0.000000,540,780,850,870,950,1400,1800,1800,8000,17000,17000,4540,0,540,642.8490474045026,173.74462499719812,16661.9481250018,239.2308370044053
1776941345,100,,Aggregated,157.900000,0.000000,540,780,850,880,950,1300,1800,1800,8000,17000,17000,4666,0,540,643.4175524728901,173.74462499719812,16661.9481250018,239.22096013716245
1776941346,100,,Aggregated,156.700000,0.000000,540,800,860,880,960,1400,1800,1800,8000,17000,17000,4804,0,540,648.3589531131365,173.74462499719812,16661.9481250018,239.23355537052456
1776941347,100,,Aggregated,154.400000,0.000000,550,810,860,880,970,1400,1800,1800,8000,17000,17000,4930,0,550,652.1170748230273,173.74462499719812,16661.9481250018,239.2026369168357
1776941348,100,,Aggregated,150.200000,0.000000,550,800,860,880,970,1400,1800,1800,6300,17000,17000,5019,0,550,648.5277433838488,173.74462499719812,16661.9481250018,239.17254433154014
1776941349,100,,Aggregated,149.000000,0.000000,550,800,860,880,980,1400,1800,1800,6300,17000,17000,5195,0,550,657.0864622551646,173.74462499719812,16661.9481250018,239.19923002887393
1776941350,100,,Aggregated,143.700000,0.000000,550,810,860,880,970,1400,1800,1800,6300,17000,17000,5346,0,550,656.4674007838657,173.74462499719812,16661.9481250018,239.14777403666292
1776941351,100,,Aggregated,137.200000,0.000000,550,800,860,880,970,1400,1800,1800,6300,17000,17000,5520,0,550,653.8084361736493,173.74462499719812,16661.9481250018,239.14891304347827
1776941352,100,,Aggregated,139.800000,0.000000,550,810,860,880,980,1400,1800,1800,6300,17000,17000,5666,0,550,657.5325124374438,173.74462499719812,16661.9481250018,239.1523120367102
1776941353,100,,Aggregated,137.000000,0.000000,550,800,860,880,970,1400,1800,1800,6300,17000,17000,5804,0,550,655.6798088400298,173.74462499719812,16661.9481250018,239.10699517574088
1776941355,100,,Aggregated,142.200000,0.000000,550,810,860,880,980,1400,1800,1800,6300,17000,17000,5934,0,550,656.4164172788217,173.74462499719812,16661.9481250018,239.1474553420964
1776941356,100,,Aggregated,139.600000,0.000000,550,810,860,880,970,1400,1800,1800,5800,17000,17000,6115,0,550,655.3861438486485,173.74462499719812,16661.9481250018,239.18315617334423
1776941357,100,,Aggregated,140.600000,0.000000,560,810,860,880,970,1400,1800,1800,5800,17000,17000,6282,0,560,653.9282927842179,173.74462499719812,16661.9481250018,239.1953199617956
1776941358,100,,Aggregated,139.200000,0.000000,550,810,860,880,970,1400,1800,1800,5800,17000,17000,6427,0,550,652.9359611825815,173.74462499719812,16661.9481250018,239.18328924848296
